OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Region,Category,SubCategory,ProductID,ProductName,Sales,Quantity,Discount,Profit,ShippingCost
ORD-100017,2024-12-16,2024-12-24,Second Class,CUST-3557,Matthew Williams,Consumer,East,Furniture,Chairs,PROD-9445,Chairs PROD-9445,34.21,2,0.15,2.05,2.48
ORD-100018,2021-06-10,2021-06-14,First Class,CUST-5493,Christopher Martin,Home Office,South,Furniture,Bookcases,PROD-7944,Bookcases PROD-7944,24.76,3,0.1,0.25,2.7
ORD-100019,2021-08-18,2021-08-21,Standard Class,CUST-4354,Anthony Johnson,Corporate,East,Technology,Copiers,PROD-6895,Copiers PROD-6895,7.82,1,0.0,1.8,0.61
ORD-100020,2022-07-01,2022-07-02,Second Class,CUST-9208,Barbara Young,Consumer,West,Office Supplies,Binders,PROD-8679,Binders PROD-8679,23.66,5,0.25,-2.13,3.47
ORD-100021,2024-01-28,2024-01-29,Same Day,CUST-1980,Daniel Smith,Home Office,South,Furniture,Chairs,PROD-1190,Chairs PROD-1190,25.88,9,0.05,5.43,3.7
ORD-100022,2022-11-17,2022-11-25,First Class,CUST-5014,Nancy Lewis,Home Office,West,Technology,Phones,PROD-8455,Phones PROD-8455,24.02,1,0.0,5.52,2.53
ORD-100023,2025-09-02,2025-09-09,Same Day,CUST-6986,Sarah Walker,Consumer,South,Technology,Phones,PROD-1537,Phones PROD-1537,26.59,7,0.1,3.99,3.06
ORD-100024,2022-05-27,2022-05-30,Second Class,CUST-6919,Daniel Rodriguez,Consumer,Central,Technology,Machines,PROD-7614,Machines PROD-7614,21.65,1,0.0,5.63,1.86
ORD-100025,2022-03-20,2022-03-25,Same Day,CUST-6691,Barbara Thomas,Home Office,East,Office Supplies,Paper,PROD-4124,Paper PROD-4124,21.55,4,0.05,3.66,1.38
ORD-100026,2022-10-18,2022-10-20,First Class,CUST-2693,Charles Thompson,Home Office,South,Technology,Copiers,PROD-1635,Copiers PROD-1635,13.08,10,0.3,-0.52,1.56
ORD-100027,2023-10-10,2023-10-11,Second Class,CUST-1512,Joseph Johnson,Corporate,South,Office Supplies,Storage,PROD-2081,Storage PROD-2081,30.57,8,0.25,-1.22,3.11
ORD-100028,2022-12-05,2022-12-10,Standard Class,CUST-9130,Barbara Hall,Home Office,South,Office Supplies,Paper,PROD-8004,Paper PROD-8004,25.08,10,0.15,2.51,2.12
ORD-100029,2024-07-01,2024-07-06,Same Day,CUST-7665,Nancy Brown,Corporate,South,Technology,Phones,PROD-6881,Phones PROD-6881,29.59,10,0.25,-2.07,3.08
ORD-100030,2022-05-31,2022-06-08,Same Day,CUST-6878,Mary Thompson,Home Office,South,Office Supplies,Labels,PROD-9527,Labels PROD-9527,29.21,1,0.1,2.63,4.21
ORD-100031,2025-05-20,2025-05-21,Second Class,CUST-2066,Barbara King,Home Office,East,Furniture,Chairs,PROD-4913,Chairs PROD-4913,49.62,3,0.1,1.49,5.73
ORD-100032,2022-08-28,2022-09-07,Standard Class,CUST-9306,William Miller,Corporate,South,Furniture,Chairs,PROD-1417,Chairs PROD-1417,31.49,4,0.05,7.56,3.3
ORD-100033,2022-04-02,2022-04-10,First Class,CUST-2122,Jessica Jones,Consumer,West,Office Supplies,Labels,PROD-3786,Labels PROD-3786,23.42,7,0.25,0.23,2.18
ORD-100034,2025-03-29,2025-04-05,Same Day,CUST-5968,Ashley Thompson,Corporate,East,Office Supplies,Storage,PROD-3914,Storage PROD-3914,28.25,1,0.0,8.19,3.81
ORD-100035,2021-09-22,2021-09-29,Same Day,CUST-3782,Karen Martinez,Home Office,West,Office Supplies,Binders,PROD-1717,Binders PROD-1717,17.2,5,0.05,1.38,2.02
ORD-100036,2025-02-16,2025-02-21,First Class,CUST-2062,Richard Clark,Corporate,West,Technology,Phones,PROD-2167,Phones PROD-2167,32.71,2,0.3,-2.62,4.37
ORD-100037,2023-07-02,2023-07-08,Second Class,CUST-6293,Richard Wilson,Consumer,West,Technology,Accessories,PROD-2542,Accessories PROD-2542,18.66,10,0.0,3.36,1.37
ORD-100038,2025-07-30,2025-07-31,Same Day,CUST-9691,Thomas Miller,Consumer,East,Furniture,Furnishings,PROD-2365,Furnishings PROD-2365,14.02,6,0.15,-0.56,1.16
ORD-100039,2024-02-24,2024-02-27,Same Day,CUST-5748,Sarah Young,Corporate,West,Technology,Copiers,PROD-5268,Copiers PROD-5268,18.05,8,0.0,3.79,2.25
ORD-100040,2021-12-14,2021-12-23,Second Class,CUST-2531,Thomas Walker,Consumer,South,Office Supplies,Binders,PROD-2214,Binders PROD-2214,20.8,5,0.05,3.54,1.2
ORD-100041,2021-02-16,2021-02-25,Second Class,CUST-6645,Joseph Smith,Corporate,East,Furniture,Tables,PROD-4376,Tables PROD-4376,32.84,7,0.0,3.94,4.76
ORD-100042,2023-08-26,2023-09-01,Same Day,CUST-1667,Christopher Wilson,Corporate,West,Technology,Phones,PROD-8575,Phones PROD-8575,13.76,5,0.3,0.0,1.65
ORD-100043,2024-03-14,2024-03-23,Standard Class,CUST-8891,Richard Young,Consumer,South,Furniture,Tables,PROD-7132,Tables PROD-7132,12.97,6,0.25,-0.26,1.44
ORD-100044,2022-03-26,2022-04-05,First Class,CUST-9989,Sarah Allen,Consumer,East,Office Supplies,Labels,PROD-3871,Labels PROD-3871,36.22,1,0.05,6.88,3.23
ORD-100045,2023-04-07,2023-04-08,Standard Class,CUST-2633,William Williams,Consumer,Central,Office Supplies,Art,PROD-5000,Art PROD-5000,15.89,6,0.15,0.48,1.99
ORD-100046,2023-02-10,2023-02-15,First Class,CUST-8140,Christopher Brown,Corporate,West,Furniture,Bookcases,PROD-8190,Bookcases PROD-8190,13.88,1,0.3,-1.39,1.01
ORD-100047,2023-05-31,2023-06-08,Second Class,CUST-8239,Michael Hall,Corporate,West,Office Supplies,Paper,PROD-4419,Paper PROD-4419,14.52,3,0.1,2.32,1.53
ORD-100048,2022-01-24,2022-02-02,Standard Class,CUST-5719,Joseph Lewis,Consumer,Central,Furniture,Chairs,PROD-7544,Chairs PROD-7544,22.23,2,0.1,1.11,2.08
ORD-100049,2022-03-23,2022-03-25,First Class,CUST-5261,James Lee,Corporate,Central,Technology,Phones,PROD-2331,Phones PROD-2331,20.59,3,0.15,2.06,1.98
ORD-100050,2024-11-25,2024-12-05,Second Class,CUST-4579,Karen Lee,Corporate,East,Office Supplies,Binders,PROD-3832,Binders PROD-3832,11.31,3,0.1,0.79,1.23
ORD-100051,2024-10-29,2024-11-06,Standard Class,CUST-2887,John Allen,Corporate,East,Technology,Phones,PROD-9472,Phones PROD-9472,14.86,3,0.0,1.34,1.16
ORD-100052,2022-06-18,2022-06-23,Standard Class,CUST-7376,Barbara Hall,Corporate,West,Technology,Phones,PROD-7981,Phones PROD-7981,19.09,9,0.1,2.29,1.93
ORD-100053,2021-04-17,2021-04-18,Second Class,CUST-6811,Joseph Harris,Corporate,Central,Technology,Phones,PROD-2276,Phones PROD-2276,20.51,7,0.1,2.67,1.15
ORD-100054,2022-11-30,2022-12-08,First Class,CUST-6122,Joseph Lewis,Home Office,West,Technology,Copiers,PROD-6126,Copiers PROD-6126,18.84,3,0.05,0.57,2.33
ORD-100055,2021-01-28,2021-02-07,Second Class,CUST-2976,Thomas Miller,Corporate,West,Technology,Copiers,PROD-2062,Copiers PROD-2062,12.46,9,0.2,0.0,1.47
ORD-100056,2021-03-08,2021-03-17,Same Day,CUST-5206,Nancy Johnson,Consumer,Central,Furniture,Tables,PROD-7371,Tables PROD-7371,9.38,4,0.1,0.84,0.8
ORD-100057,2023-05-27,2023-06-02,First Class,CUST-2460,Nancy Clark,Corporate,West,Furniture,Furnishings,PROD-4812,Furnishings PROD-4812,11.38,8,0.2,-1.48,1.17
ORD-100058,2023-11-30,2023-12-05,Same Day,CUST-1005,Mary Robinson,Home Office,South,Office Supplies,Paper,PROD-6342,Paper PROD-6342,20.0,6,0.15,2.6,2.11
ORD-100059,2024-11-16,2024-11-26,Same Day,CUST-7469,Betty Rodriguez,Home Office,South,Furniture,Bookcases,PROD-7316,Bookcases PROD-7316,25.17,4,0.0,2.01,2.8
ORD-100060,2021-11-16,2021-11-22,First Class,CUST-2917,David Jones,Home Office,East,Furniture,Bookcases,PROD-2828,Bookcases PROD-2828,13.82,5,0.0,4.15,1.14
ORD-100061,2025-07-24,2025-07-28,First Class,CUST-2342,Robert Moore,Consumer,East,Office Supplies,Labels,PROD-9512,Labels PROD-9512,6.89,6,0.05,0.62,0.98
ORD-100062,2021-11-14,2021-11-16,First Class,CUST-9567,David Moore,Home Office,West,Furniture,Bookcases,PROD-2908,Bookcases PROD-2908,25.64,8,0.2,1.03,3.33
ORD-100063,2024-08-07,2024-08-12,Standard Class,CUST-8546,Susan Hall,Consumer,West,Technology,Phones,PROD-3898,Phones PROD-3898,44.26,9,0.15,0.44,5.37
ORD-100064,2023-03-11,2023-03-14,Standard Class,CUST-7565,James Lewis,Home Office,Central,Office Supplies,Storage,PROD-8804,Storage PROD-8804,10.97,2,0.1,1.97,1.23
ORD-100065,2021-07-17,2021-07-23,Standard Class,CUST-9135,Elizabeth Robinson,Home Office,Central,Furniture,Bookcases,PROD-2202,Bookcases PROD-2202,8.96,4,0.15,0.36,1.34
ORD-100066,2025-01-04,2025-01-05,Second Class,CUST-3336,Ashley Jones,Corporate,West,Office Supplies,Binders,PROD-1950,Binders PROD-1950,16.88,6,0.1,0.68,1.62
ORD-100067,2023-08-06,2023-08-14,Second Class,CUST-4719,Robert King,Consumer,Central,Technology,Accessories,PROD-4228,Accessories PROD-4228,30.4,3,0.15,1.22,2.29
ORD-100068,2021-03-10,2021-03-14,Standard Class,CUST-1814,Betty White,Corporate,Central,Office Supplies,Labels,PROD-7166,Labels PROD-7166,68.23,8,0.2,5.46,7.27
ORD-100069,2024-09-09,2024-09-14,Second Class,CUST-6959,Elizabeth Thompson,Home Office,South,Office Supplies,Storage,PROD-4876,Storage PROD-4876,21.43,6,0.0,1.71,2.87
ORD-100070,2023-02-18,2023-02-25,First Class,CUST-6732,Christopher Hall,Corporate,West,Office Supplies,Storage,PROD-2792,Storage PROD-2792,10.83,3,0.1,0.54,0.6
ORD-100071,2024-03-06,2024-03-16,First Class,CUST-7456,Christopher Hall,Home Office,East,Furniture,Furnishings,PROD-4507,Furnishings PROD-4507,11.59,9,0.2,0.93,1.12
ORD-100072,2022-04-20,2022-04-22,First Class,CUST-4600,David Allen,Home Office,South,Office Supplies,Paper,PROD-7490,Paper PROD-7490,20.02,6,0.0,2.6,2.56
ORD-100073,2023-09-30,2023-10-06,Standard Class,CUST-6588,Thomas Miller,Consumer,East,Furniture,Furnishings,PROD-3713,Furnishings PROD-3713,10.39,6,0.2,-0.21,0.71
ORD-100074,2021-11-23,2021-11-24,Same Day,CUST-3482,Anthony Lee,Corporate,Central,Technology,Machines,PROD-2759,Machines PROD-2759,9.81,8,0.1,0.2,1.19
ORD-100075,2023-10-07,2023-10-09,First Class,CUST-6083,Thomas Garcia,Corporate,West,Furniture,Furnishings,PROD-7645,Furnishings PROD-7645,41.79,1,0.05,0.84,5.24
ORD-100076,2023-02-17,2023-02-27,First Class,CUST-4451,James Lewis,Corporate,Central,Technology,Machines,PROD-7305,Machines PROD-7305,37.01,3,0.0,8.14,1.92
ORD-100077,2023-12-14,2023-12-23,Same Day,CUST-4300,John Martinez,Home Office,East,Furniture,Chairs,PROD-4310,Chairs PROD-4310,6.77,3,0.0,1.56,0.92
ORD-100078,2022-05-06,2022-05-10,First Class,CUST-9356,Nancy Clark,Home Office,West,Furniture,Chairs,PROD-6619,Chairs PROD-6619,23.64,2,0.2,1.18,1.99
ORD-100079,2023-01-16,2023-01-18,Same Day,CUST-5491,Karen Brown,Corporate,East,Office Supplies,Storage,PROD-5566,Storage PROD-5566,10.75,2,0.2,-1.07,1.59
ORD-100080,2024-10-19,2024-10-27,Second Class,CUST-3106,Susan Lewis,Consumer,South,Furniture,Tables,PROD-3679,Tables PROD-3679,47.03,2,0.1,0.47,3.01
ORD-100081,2024-06-12,2024-06-16,Standard Class,CUST-9633,Donald Jackson,Home Office,West,Technology,Accessories,PROD-7809,Accessories PROD-7809,20.99,6,0.25,-3.57,2.26
ORD-100082,2023-07-23,2023-07-25,Standard Class,CUST-6796,Matthew Davis,Home Office,West,Technology,Phones,PROD-8184,Phones PROD-8184,16.25,6,0.15,-0.65,1.84
ORD-100083,2023-04-01,2023-04-08,Same Day,CUST-4028,Sandra Wright,Corporate,West,Furniture,Chairs,PROD-3969,Chairs PROD-3969,14.54,6,0.15,-1.16,1.6
ORD-100084,2023-03-05,2023-03-10,First Class,CUST-6415,David Jones,Home Office,East,Office Supplies,Labels,PROD-4850,Labels PROD-4850,12.49,8,0.25,-0.25,0.89
ORD-100085,2025-04-21,2025-04-25,Standard Class,CUST-8101,Anthony Jackson,Corporate,Central,Technology,Phones,PROD-2762,Phones PROD-2762,74.9,2,0.0,5.24,9.2
ORD-100086,2024-05-25,2024-06-02,Second Class,CUST-8970,John Garcia,Home Office,East,Office Supplies,Paper,PROD-7185,Paper PROD-7185,8.32,1,0.0,2.41,0.79
ORD-100087,2021-01-12,2021-01-20,Second Class,CUST-6895,Christopher Thompson,Consumer,Central,Office Supplies,Paper,PROD-1338,Paper PROD-1338,35.59,8,0.0,6.05,2.57
ORD-100088,2022-05-04,2022-05-14,Second Class,CUST-5873,Jessica Miller,Home Office,East,Office Supplies,Binders,PROD-9238,Binders PROD-9238,7.57,5,0.15,-0.38,0.47
ORD-100089,2023-04-07,2023-04-14,Second Class,CUST-7737,Ashley Robinson,Home Office,Central,Technology,Accessories,PROD-2500,Accessories PROD-2500,17.47,10,0.1,1.92,1.51
ORD-100090,2022-09-12,2022-09-14,First Class,CUST-3983,Betty Lewis,Home Office,Central,Office Supplies,Labels,PROD-1130,Labels PROD-1130,41.41,9,0.15,1.24,3.84
ORD-100091,2024-02-06,2024-02-08,First Class,CUST-9930,Elizabeth Johnson,Home Office,West,Technology,Machines,PROD-9502,Machines PROD-9502,22.16,2,0.25,0.0,3.32
ORD-100092,2021-01-29,2021-01-30,Second Class,CUST-1271,Lisa Thomas,Consumer,Central,Office Supplies,Storage,PROD-9436,Storage PROD-9436,23.18,1,0.0,1.85,1.98
ORD-100093,2025-08-21,2025-08-23,Standard Class,CUST-1145,Ashley Brown,Consumer,East,Office Supplies,Storage,PROD-7467,Storage PROD-7467,7.08,1,0.05,0.21,1.03
ORD-100094,2021-03-02,2021-03-07,Second Class,CUST-1806,Lisa White,Home Office,South,Technology,Machines,PROD-5805,Machines PROD-5805,18.64,6,0.1,1.49,1.36
ORD-100095,2021-08-14,2021-08-23,Standard Class,CUST-1936,Thomas Hall,Corporate,Central,Office Supplies,Binders,PROD-3265,Binders PROD-3265,14.44,6,0.3,-0.43,2.06
ORD-100096,2025-11-12,2025-11-22,Second Class,CUST-8312,Lisa Williams,Home Office,South,Technology,Machines,PROD-3466,Machines PROD-3466,22.23,9,0.2,1.56,2.13
ORD-100097,2023-08-10,2023-08-13,First Class,CUST-6016,Mary Thomas,Consumer,West,Office Supplies,Labels,PROD-2218,Labels PROD-2218,9.41,9,0.1,-0.28,0.85
ORD-100098,2023-09-02,2023-09-08,Standard Class,CUST-4972,Jessica Hall,Corporate,West,Technology,Copiers,PROD-6370,Copiers PROD-6370,20.52,3,0.2,-1.23,2.42
ORD-100099,2025-11-08,2025-11-09,First Class,CUST-8314,Jessica Wilson,Consumer,South,Technology,Accessories,PROD-5311,Accessories PROD-5311,33.62,9,0.05,2.02,4.81
ORD-100100,2021-12-22,2021-12-28,Standard Class,CUST-7150,Robert Anderson,Corporate,East,Furniture,Tables,PROD-5795,Tables PROD-5795,15.32,7,0.0,3.83,2.04
ORD-100101,2025-03-28,2025-04-04,Second Class,CUST-2136,William Thompson,Home Office,South,Technology,Copiers,PROD-6343,Copiers PROD-6343,27.65,8,0.2,-3.32,2.17
ORD-100102,2025-01-18,2025-01-28,Standard Class,CUST-2435,Sandra Harris,Consumer,West,Office Supplies,Paper,PROD-6352,Paper PROD-6352,21.93,2,0.25,-3.51,2.79
ORD-100103,2022-02-05,2022-02-15,Second Class,CUST-9213,Betty Lee,Corporate,Central,Technology,Machines,PROD-3752,Machines PROD-3752,24.64,4,0.1,2.46,2.18
ORD-100104,2021-01-29,2021-01-30,Standard Class,CUST-4356,Patricia Thompson,Consumer,Central,Office Supplies,Art,PROD-8813,Art PROD-8813,38.45,4,0.2,1.54,2.81
ORD-100105,2025-01-22,2025-01-25,First Class,CUST-1988,Christopher Harris,Consumer,South,Furniture,Furnishings,PROD-3896,Furnishings PROD-3896,21.2,6,0.15,0.21,1.72
ORD-100106,2022-07-24,2022-07-30,First Class,CUST-2980,John Thompson,Corporate,East,Technology,Copiers,PROD-4598,Copiers PROD-4598,25.86,9,0.2,1.03,3.29
ORD-100107,2025-09-06,2025-09-08,First Class,CUST-1959,Barbara Clark,Corporate,South,Furniture,Furnishings,PROD-7342,Furnishings PROD-7342,19.8,9,0.0,3.96,2.19
ORD-100108,2025-10-30,2025-11-08,Second Class,CUST-8099,Nancy Rodriguez,Consumer,East,Office Supplies,Labels,PROD-6797,Labels PROD-6797,23.29,1,0.0,1.63,2.08
ORD-100109,2024-10-21,2024-10-27,Standard Class,CUST-6420,Matthew Smith,Corporate,South,Office Supplies,Labels,PROD-7154,Labels PROD-7154,19.68,6,0.15,-1.18,1.19
ORD-100110,2023-12-06,2023-12-12,Second Class,CUST-9905,Linda Garcia,Consumer,South,Furniture,Bookcases,PROD-3720,Bookcases PROD-3720,17.75,1,0.2,-1.06,1.46
ORD-100111,2024-04-04,2024-04-11,Second Class,CUST-2709,Betty Garcia,Corporate,Central,Office Supplies,Art,PROD-1089,Art PROD-1089,14.28,1,0.3,-3.14,1.99
ORD-100112,2021-01-09,2021-01-15,Same Day,CUST-1552,Sarah Thomas,Corporate,South,Furniture,Furnishings,PROD-4144,Furnishings PROD-4144,33.95,7,0.15,1.36,3.73
ORD-100113,2021-01-22,2021-02-01,First Class,CUST-1514,William Young,Corporate,West,Furniture,Chairs,PROD-1894,Chairs PROD-1894,15.37,6,0.1,1.69,1.51
ORD-100114,2024-06-20,2024-06-30,First Class,CUST-9941,Patricia Jackson,Consumer,South,Office Supplies,Binders,PROD-4638,Binders PROD-4638,19.84,2,0.0,4.17,1.65
ORD-100115,2021-11-08,2021-11-17,Same Day,CUST-7236,Nancy Harris,Home Office,East,Furniture,Bookcases,PROD-9946,Bookcases PROD-9946,58.62,5,0.15,5.28,5.43
ORD-100116,2022-05-31,2022-06-04,Same Day,CUST-7295,Sarah Thompson,Consumer,Central,Technology,Phones,PROD-1955,Phones PROD-1955,19.05,2,0.1,2.86,2.2
ORD-100117,2023-01-25,2023-01-28,First Class,CUST-4714,Richard Garcia,Consumer,South,Furniture,Bookcases,PROD-5732,Bookcases PROD-5732,48.93,3,0.15,0.0,5.39
ORD-100118,2024-08-14,2024-08-16,First Class,CUST-5648,Ashley Rodriguez,Consumer,South,Office Supplies,Labels,PROD-1374,Labels PROD-1374,49.69,7,0.0,7.45,7.3
ORD-100119,2021-03-07,2021-03-10,First Class,CUST-6543,Barbara Lee,Consumer,South,Technology,Accessories,PROD-5356,Accessories PROD-5356,31.26,10,0.0,2.81,3.19
ORD-100120,2025-12-07,2025-12-16,Same Day,CUST-6895,David Thomas,Consumer,East,Office Supplies,Paper,PROD-7276,Paper PROD-7276,30.68,5,0.15,2.45,2.9
ORD-100121,2024-10-22,2024-10-28,Second Class,CUST-2274,Donald Robinson,Corporate,West,Office Supplies,Storage,PROD-1619,Storage PROD-1619,37.01,5,0.25,-7.03,2.3
ORD-100122,2021-07-17,2021-07-22,Same Day,CUST-7980,James Thompson,Corporate,Central,Technology,Phones,PROD-6178,Phones PROD-6178,15.79,2,0.05,3.79,1.71
ORD-100123,2024-04-22,2024-04-24,Second Class,CUST-7294,Ashley Jackson,Corporate,South,Technology,Copiers,PROD-8595,Copiers PROD-8595,5.89,7,0.0,0.59,0.72
ORD-100124,2022-10-31,2022-11-06,Second Class,CUST-2198,Mary Smith,Home Office,Central,Technology,Accessories,PROD-5612,Accessories PROD-5612,19.78,1,0.2,1.38,2.51
ORD-100125,2023-09-14,2023-09-22,First Class,CUST-5909,Patricia Smith,Home Office,East,Office Supplies,Binders,PROD-5440,Binders PROD-5440,54.69,5,0.1,2.19,3.61
ORD-100126,2022-12-05,2022-12-11,Standard Class,CUST-6704,James Moore,Consumer,East,Office Supplies,Binders,PROD-1574,Binders PROD-1574,45.01,4,0.15,4.05,6.42
ORD-100127,2021-01-19,2021-01-25,Standard Class,CUST-8761,Richard Moore,Home Office,Central,Technology,Accessories,PROD-4553,Accessories PROD-4553,25.2,1,0.0,4.79,1.27
ORD-100128,2025-08-06,2025-08-07,Standard Class,CUST-3190,Christopher Martinez,Consumer,South,Furniture,Bookcases,PROD-5806,Bookcases PROD-5806,14.59,6,0.0,2.92,1.7
ORD-100129,2023-04-22,2023-04-24,Second Class,CUST-7228,Betty Wilson,Corporate,South,Technology,Copiers,PROD-3989,Copiers PROD-3989,10.37,5,0.2,-1.24,0.67
ORD-100130,2021-10-31,2021-11-05,First Class,CUST-6445,Susan Garcia,Home Office,South,Technology,Machines,PROD-9234,Machines PROD-9234,17.54,5,0.2,-1.58,2.5
ORD-100131,2025-12-12,2025-12-16,Same Day,CUST-5882,Mary White,Consumer,East,Technology,Accessories,PROD-1140,Accessories PROD-1140,37.75,3,0.1,-1.13,4.6
ORD-100132,2021-01-02,2021-01-03,First Class,CUST-3137,Matthew Wright,Home Office,Central,Technology,Copiers,PROD-7787,Copiers PROD-7787,21.17,7,0.05,4.23,1.45
ORD-100133,2023-08-10,2023-08-14,Second Class,CUST-2798,Nancy Smith,Consumer,South,Technology,Accessories,PROD-6203,Accessories PROD-6203,10.31,7,0.1,0.82,1.13
ORD-100134,2023-11-16,2023-11-25,Second Class,CUST-6752,Donald Taylor,Consumer,South,Technology,Accessories,PROD-1009,Accessories PROD-1009,14.02,3,0.2,0.28,1.84
ORD-100135,2023-07-04,2023-07-08,Standard Class,CUST-1482,Barbara Johnson,Home Office,East,Furniture,Bookcases,PROD-4040,Bookcases PROD-4040,31.42,6,0.0,6.6,3.48
ORD-100136,2024-03-29,2024-04-08,Same Day,CUST-7652,Matthew Wright,Corporate,East,Furniture,Tables,PROD-2100,Tables PROD-2100,46.35,10,0.05,8.34,5.53
ORD-100137,2023-09-26,2023-10-04,Standard Class,CUST-6699,Betty Davis,Home Office,West,Furniture,Furnishings,PROD-3349,Furnishings PROD-3349,31.86,8,0.1,3.19,2.87
ORD-100138,2024-10-08,2024-10-14,Same Day,CUST-1707,Richard Thompson,Corporate,South,Office Supplies,Binders,PROD-3472,Binders PROD-3472,22.16,8,0.2,0.22,2.29
ORD-100139,2022-01-16,2022-01-26,Second Class,CUST-9533,Jennifer Johnson,Corporate,Central,Furniture,Bookcases,PROD-8426,Bookcases PROD-8426,14.87,3,0.15,0.3,0.83
ORD-100140,2025-01-05,2025-01-09,First Class,CUST-1207,Elizabeth Wright,Consumer,West,Technology,Copiers,PROD-4374,Copiers PROD-4374,38.75,4,0.1,1.94,2.4
ORD-100141,2022-09-19,2022-09-27,Same Day,CUST-9555,James Walker,Consumer,West,Office Supplies,Paper,PROD-7099,Paper PROD-7099,10.94,6,0.0,2.63,0.69
ORD-100142,2023-02-23,2023-03-01,Standard Class,CUST-4725,Patricia Smith,Corporate,Central,Furniture,Chairs,PROD-3785,Chairs PROD-3785,9.32,9,0.1,0.28,0.84
ORD-100143,2024-12-01,2024-12-11,First Class,CUST-5406,Jennifer Williams,Home Office,West,Office Supplies,Paper,PROD-4267,Paper PROD-4267,11.07,5,0.05,1.44,0.99
ORD-100144,2022-11-09,2022-11-11,Second Class,CUST-2826,Ashley Lee,Corporate,West,Office Supplies,Paper,PROD-6548,Paper PROD-6548,16.77,9,0.05,0.17,1.1
ORD-100145,2023-07-20,2023-07-22,Standard Class,CUST-6907,Sarah Taylor,Corporate,East,Technology,Machines,PROD-8373,Machines PROD-8373,16.04,6,0.05,2.41,1.03
ORD-100146,2021-12-02,2021-12-08,Standard Class,CUST-3530,William Davis,Consumer,East,Furniture,Chairs,PROD-9429,Chairs PROD-9429,25.89,4,0.05,0.78,2.95
